MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9
1462.4,972.8,800,728,641.6,598.4,584,569.6,555.2,555.2
2441.6,1462.4,1131.2,972.8,800,728,699.2,670.4,641.6,627.2
3435.2,1952,1462.4,1217.6,972.8,843.2,800,771.2,728,699.2
4414.4,2441.6,1793.6,1462.4,1131.2,972.8,915.2,872,800,771.2
5408,2945.6,2124.8,1707.2,1304,1088,1030.4,972.8,886.4,843.2
6387.2,3435.2,2441.6,1952,1462.4,1217.6,1131.2,1073.6,972.8,915.2
7366.4,3924.8,2772.8,2196.8,1620.8,1332.8,1246.4,1160,1044.8,987.2
8360,4414.4,3104,2441.6,1793.6,1462.4,1347.2,1260.8,1131.2,1073.6
9339.2,4904,3435.2,2686.4,1952,1577.6,1462.4,1361.6,1217.6,1145.6
10318.4,5393.6,3752,2931.2,2110.4,1707.2,1563.2,1462.4,1289.6,1217.6
11312,5897.6,4083.2,3190.4,2283.2,1836.8,1678.4,1563.2,1376,1289.6
12291.2,6387.2,4414.4,3435.2,2441.6,1952,1793.6,1664,1462.4,1361.6
13284.8,6876.8,4745.6,3680,2614.4,2081.6,1894.4,1750.4,1548.8,1433.6
14264,7366.4,5076.8,3924.8,2772.8,2196.8,2009.6,1851.2,1620.8,1505.6
15243.2,7856,5393.6,4169.6,2931.2,2326.4,2110.4,1952,1707.2,1577.6
16236.8,8360,5724.8,4414.4,3104,2441.6,2225.6,2052.8,1793.6,1664
17216,8849.6,6056,4659.2,3262.4,2571.2,2340.8,2153.6,1865.6,1736
18195.2,9339.2,6387.2,4904,3435.2,2686.4,2441.6,2254.4,1952,1808
19188.8,9828.8,6718.4,5148.8,3593.6,2816,2556.8,2340.8,2038.4,1880
20168,10318.4,7035.2,5393.6,3752,2931.2,2657.6,2441.6,2110.4,1952
21161.6,10822.4,7366.4,5652.8,3924.8,3060.8,2772.8,2542.4,2196.8,2024
22140.8,11312,7697.6,5897.6,4083.2,3190.4,2888,2643.2,2283.2,2096
23120,11801.6,8028.8,6142.4,4256,3305.6,2988.8,2744,2369.6,2168
24113.6,12291.2,8360,6387.2,4414.4,3435.2,3104,2844.8,2441.6,2254.4
25092.8,12780.8,8676.8,6632,4572.8,3550.4,3204.8,2931.2,2528,2326.4
26072,13270.4,9008,6876.8,4745.6,3680,3320,3032,2614.4,2398.4
27065.6,13774.4,9339.2,7121.6,4904,3795.2,3435.2,3132.8,2686.4,2470.4
28044.8,14264,9670.4,7366.4,5076.8,3924.8,3536,3233.6,2772.8,2542.4
29038.4,14753.6,10001.6,7611.2,5235.2,4040,3651.2,3334.4,2859.2,2614.4
30017.6,15243.2,10318.4,7856,5393.6,4169.6,3752,3435.2,2931.2,2686.4
30996.8,15732.8,10649.6,8100.8,5566.4,4284.8,3867.2,3521.6,3017.6,2758.4
31990.4,16236.8,10980.8,8360,5724.8,4414.4,3982.4,3622.4,3104,2844.8