MCS2,MCS7
208.73,179.93
251.93,194.33
295.13,208.73
338.33,223.13
381.53,237.53
424.73,251.93
453.53,251.93
496.73,266.33
539.93,280.73
583.13,295.13
626.33,309.53
669.53,323.93
712.73,338.33
741.53,338.33
784.73,352.73
827.93,367.13
871.13,381.53
914.33,395.93
957.53,410.33
986.33,424.73
1029.53,424.73
1072.73,439.13
1115.93,453.53
1159.13,467.93
1202.33,482.33
1245.53,496.73
1274.33,511.13
1317.53,511.13
1360.73,525.53
1403.93,539.93
1447.13,554.33
1490.33,568.73
1533.53,583.13
1562.33,597.53
1605.53,597.53
1648.73,611.93
1691.93,626.33
1735.13,640.73
1778.33,655.13
1807.13,669.53
1850.33,683.93
1893.53,683.93
1936.73,698.33
1979.93,712.73
2023.13,727.13
2066.33,741.53
2095.13,755.93
2138.33,770.33
2181.53,770.33
2224.73,784.73
2267.93,799.13
2311.13,813.53
2354.33,827.93
2383.13,842.33
2426.33,856.73
2469.53,856.73
2512.73,871.13
2555.93,885.53
2599.13,899.93
2627.93,914.33
2671.13,928.73
2714.33,928.73
2757.53,943.13
2800.73,957.53
2843.93,971.93
2887.13,986.33
2915.93,1000.73
2959.13,1015.13
3002.33,1015.13
3045.53,1029.53
3088.73,1043.93
3131.93,1058.33
3160.73,1072.73
3203.93,1087.13
3247.13,1101.53
3290.33,1101.53
3333.53,1115.93
3376.73,1130.33
3419.93,1144.73
3448.73,1159.13
3491.93,1173.53
3535.13,1187.93
3578.33,1187.93
3621.53,1202.33
3664.73,1216.73
3707.93,1231.13
3736.73,1245.53
3779.93,1259.93
3823.13,1274.33
3866.33,1274.33
3909.53,1288.73
3952.73,1303.13
3981.53,1317.53
4024.73,1331.93
4067.93,1346.33
4111.13,1360.73
4154.33,1360.73
4197.53,1375.13
4240.73,1389.53
4269.53,1403.93
4312.73,1418.33
4355.93,1432.73
4399.13,1447.13
4442.33,1447.13
4485.53,1461.53
4528.73,1475.93
4557.53,1490.33
4600.73,1504.73
4643.93,1519.13
4687.13,1533.53
4730.33,1533.53
4773.53,1547.93
4802.33,1562.33
4845.53,1576.73
4888.73,1591.13
4931.93,1605.53
4975.13,1619.93
5018.33,1619.93
5061.53,1634.33
5090.33,1648.73
5133.53,1663.13
5176.73,1677.53
5219.93,1691.93
5263.13,1691.93
5306.33,1706.33
5335.13,1720.73
5378.33,1735.13
5421.53,1749.53
5464.73,1763.93
5507.93,1778.33
5551.13,1778.33
5594.33,1792.73
5623.13,1807.13
5666.33,1821.53
5709.53,1835.93
5752.73,1850.33
5795.93,1864.73
5839.13,1864.73
5882.33,1879.13
5911.13,1893.53
5954.33,1907.93
5997.53,1922.33
6040.73,1936.73
6083.93,1951.13
6127.13,1951.13
6155.93,1965.53
6199.13,1979.93
6242.33,1994.33
6285.53,2008.73
6328.73,2023.13
6371.93,2037.53
6415.13,2037.53
6443.93,2051.93
6487.13,2066.33
6530.33,2080.73
6573.53,2095.13
6616.73,2109.53
6659.93,2123.93
6688.73,2123.93
6731.93,2138.33
6775.13,2152.73
6818.33,2167.13
6861.53,2181.53
6904.73,2195.93
6947.93,2210.33
6976.73,2210.33
7019.93,2224.73
7063.13,2239.13
7106.33,2253.53
7149.53,2267.93
7192.73,2282.33
7235.93,2296.73
7264.73,2296.73
7307.93,2311.13
7351.13,2325.53
7394.33,2339.93
7437.53,2354.33
7480.73,2368.73
7509.53,2368.73
7552.73,2383.13
7595.93,2397.53
7639.13,2411.93
7682.33,2426.33
7725.53,2440.73
7768.73,2455.13
7797.53,2455.13
7840.73,2469.53
7883.93,2483.93
7927.13,2498.33
7970.33,2512.73
8013.53,2527.13
8056.73,2541.53
8085.53,2541.53
8128.73,2555.93
8171.93,2570.33
8215.13,2584.73
8258.33,2599.13
8301.53,2613.53
8330.33,2627.93
8373.53,2627.93
8416.73,2642.33
8459.93,2656.73
8503.13,2671.13
8546.33,2685.53
8589.53,2699.93
8618.33,2714.33
8661.53,2714.33
8704.73,2728.73
8747.93,2743.13
8791.13,2757.53
8834.33,2771.93
8863.13,2786.33
8906.33,2800.73
8949.53,2800.73
8992.73,2815.13
9035.93,2829.53
9079.13,2843.93
9122.33,2858.33
9151.13,2872.73
9194.33,2887.13
9237.53,2887.13
9280.73,2901.53
9323.93,2915.93
9367.13,2930.33
9410.33,2944.73
9439.13,2959.13
9482.33,2973.53
9525.53,2973.53
9568.73,2987.93
9611.93,3002.33
9655.13,3016.73
9683.93,3031.13
9727.13,3045.53
9770.33,3059.93
9813.53,3059.93
9856.73,3074.33
9899.93,3088.73
9943.13,3103.13
9971.93,3117.53
10015.13,3131.93
10058.33,3131.93
10101.53,3146.33
10144.73,3160.73
10187.93,3175.13
10231.13,3189.53
10259.93,3203.93
10303.13,3218.33
10346.33,3218.33
10389.53,3232.73
10432.73,3247.13
10475.93,3261.53
10504.73,3275.93
10547.93,3290.33
10591.13,3304.73
10634.33,3304.73
10677.53,3319.13
10720.73,3333.53
10763.93,3347.93
10792.73,3362.33
10835.93,3376.73
10879.13,3391.13
10922.33,3391.13
10965.53,3405.53
11008.73,3419.93
11037.53,3434.33
11080.73,3448.73
11123.93,3463.13
11167.13,3477.53
11210.33,3477.53
11253.53,3491.93
11296.73,3506.33
11325.53,3520.73
11368.73,3535.13
11411.93,3549.53
11455.13,3563.93
11498.33,3563.93
11541.53,3578.33
11584.73,3592.73
11613.53,3607.13
11656.73,3621.53
11699.93,3635.93
11743.13,3650.33
11786.33,3650.33
11829.53,3664.73
11858.33,3679.13
11901.53,3693.53
11944.73,3707.93
11987.93,3722.33
12031.13,3736.73
12074.33,3736.73
12117.53,3751.13
12146.33,3765.53
12189.53,3779.93
12232.73,3794.33
12275.93,3808.73
12319.13,3808.73
12362.33,3823.13
12405.53,3837.53
12434.33,3851.93
12477.53,3866.33
12520.73,3880.73
12563.93,3895.13
12607.13,3895.13
12650.33,3909.53
12679.13,3923.93
12722.33,3938.33
12765.53,3952.73
12808.73,3967.13
12851.93,3981.53
12895.13,3981.53
12938.33,3995.93
12967.13,4010.33
13010.33,4024.73
13053.53,4039.13
13096.73,4053.53
13139.93,4067.93
13183.13,4067.93
13211.93,4082.33
13255.13,4096.73
13298.33,4111.13
13341.53,4125.53
13384.73,4139.93
13427.93,4154.33
13471.13,4154.33
13499.93,4168.73
13543.13,4183.13
13586.33,4197.53